NDB_No,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Diabetic_Friendly,bp,obesity
5063,chicken broilers or fryers breast meat only ckd fried,187.0,33.44,1.29,4.71,0.51,0.0,16.0,1.14,31,246.0,276.0,79.0,1.08,1,1,1
5064,chicken broilers or fryers breast meat only ckd rstd,165.0,31.02,1.01,3.57,0.0,0.0,15.0,1.04,29,228.0,256.0,74.0,1.0,1,1,1
5065,chicken broilers or fryers breast meat only ckd stwd,151.0,28.98,0.85,3.03,0.0,0.0,13.0,0.88,24,165.0,187.0,63.0,0.97,1,1,1
5066,chicken broilers or fryers drumstk meatskn raw,161.0,18.08,2.459,9.2,0.11,0.0,8.0,0.71,18,163.0,211.0,106.0,1.86,1,1,1
5067,chicken broilers or fryers drumstk meatskn ckd fried batter,268.0,21.95,4.14,15.75,8.28,0.0,17.0,1.35,20,147.0,186.0,269.0,2.33,1,0,0
5068,chicken broilers or fryers drumstk meatskn ckd fried flr,245.0,26.96,3.66,13.72,1.63,0.0,12.0,1.34,23,176.0,229.0,89.0,2.89,1,1,0
5069,chicken broilers or fryers drumstk meatskn ckd rstd,191.0,23.35,2.74,10.15,0.0,0.0,11.0,1.11,22,195.0,247.0,123.0,2.36,1,1,0
5070,chicken broilers or fryers drumstk meatskn ckd stwd,204.0,25.32,2.91,10.64,0.0,0.0,11.0,1.33,20,141.0,184.0,76.0,2.65,1,1,0
5071,chicken broilers or fryers dk meat drumstk meat only raw,116.0,19.41,0.949,3.71,0.0,0.0,9.0,0.76,20,174.0,225.0,114.0,2.05,1,1,1
5072,chicken broilers or fryers drumstk meat only ckd fried,195.0,28.62,2.13,8.08,0.0,0.0,12.0,1.32,24,186.0,249.0,96.0,3.22,1,1,1
5073,chicken broilers or fryers dk meat drumstk meat only ckd rst,155.0,24.24,1.505,5.7,0.0,0.0,11.0,1.14,22,200.0,256.0,128.0,2.56,1,1,1
5074,chicken broilers or fryers drumstk meat only ckd stwd,169.0,27.5,1.51,5.71,0.0,0.0,11.0,1.37,21,150.0,199.0,80.0,3.02,1,1,1
5075,chicken broilers or fryers leg meatskn raw,214.0,16.37,4.366,15.95,0.17,0.0,9.0,0.69,19,155.0,203.0,84.0,1.47,1,1,0
5076,chicken broilers or fryers leg meatskn ckd fried batter,273.0,21.77,4.28,16.17,8.72,0.0,18.0,1.4,20,152.0,189.0,279.0,2.17,1,0,0
5077,chicken broilers or fryers leg meatskn ckd fried flr,254.0,26.84,3.9,14.43,2.5,0.0,13.0,1.43,24,182.0,233.0,88.0,2.68,1,1,0
5078,chicken broilers or fryers leg meatskn ckd rstd,184.0,24.03,2.446,8.99,0.0,0.0,12.0,1.09,23,202.0,264.0,98.0,2.07,1,1,1
5079,chicken broilers or fryers leg meatskn ckd stwd,220.0,24.17,3.57,12.92,0.0,0.0,11.0,1.35,20,139.0,176.0,73.0,2.43,1,0,0
5080,chicken broilers or fryers leg meat only raw,120.0,19.16,1.05,4.22,0.0,0.0,10.0,0.78,23,180.0,238.0,96.0,1.76,1,1,1
5081,chicken broilers or fryers leg meat only ckd fried,208.0,28.38,2.49,9.32,0.65,0.0,13.0,1.4,25,193.0,254.0,96.0,2.98,1,1,0
5082,chicken broilers or fryers leg meat only ckd rstd,174.0,24.22,2.108,7.8,0.0,0.0,12.0,1.08,24,205.0,269.0,99.0,2.11,1,1,1
5083,chicken broilers or fryers leg meat only ckd stwd,185.0,26.26,2.2,8.06,0.0,0.0,11.0,1.4,21,149.0,190.0,78.0,2.78,1,1,1
5084,chicken broilers or fryers neck meatskn raw,297.0,14.07,7.27,26.24,0.0,0.0,18.0,1.9,13,112.0,137.0,64.0,1.86,1,0,0
5085,chicken broilers or fryers neck meatskn ckd fried batter,330.0,19.82,6.22,23.52,8.7,0.0,31.0,2.15,16,115.0,151.0,276.0,2.5,1,0,0
5086,chicken broilers or fryers neck meatskn ckd fried flr,332.0,24.01,6.32,23.61,4.24,0.0,31.0,2.42,19,132.0,180.0,82.0,3.07,1,0,0
5087,chicken broilers or fryers neck meatskn ckd simmrd,247.0,19.61,5.0,18.1,0.0,0.0,27.0,2.3,13,122.0,108.0,52.0,2.72,1,0,0
5088,chicken broilers or fryers neck meat only raw,154.0,17.55,2.25,8.78,0.0,0.0,27.0,2.06,17,113.0,175.0,81.0,2.68,1,1,1
5089,chicken broilers or fryers neck meat only ckd fried,229.0,26.87,3.0,11.88,1.77,0.0,41.0,2.98,20,135.0,213.0,99.0,4.24,1,1,0
5090,chicken broilers or fryers neck meat only ckd simmrd,179.0,24.56,2.1,8.18,0.0,0.0,44.0,2.63,16,128.0,140.0,64.0,3.77,1,1,1
5091,chicken broilers or fryers thigh meatskn raw,221.0,16.52,4.524,16.61,0.25,0.0,7.0,0.68,18,157.0,204.0,81.0,1.29,1,1,0
5092,chicken broilers or fryers thigh meatskn ckd fried batter,277.0,21.61,4.41,16.53,9.08,0.0,18.0,1.45,21,155.0,192.0,288.0,2.04,1,0,0
5093,chicken broilers or fryers thigh meatskn ckd fried flr,262.0,26.75,4.09,14.98,3.18,0.0,14.0,1.49,25,187.0,237.0,88.0,2.52,1,1,0
5094,chicken broilers or fryers thigh meatskn ckd rstd,232.0,23.26,4.111,14.71,0.0,0.0,9.0,1.08,22,216.0,253.0,102.0,1.73,1,1,0
5095,chicken broilers or fryers thigh meatskn ckd stwd,232.0,23.26,4.11,14.74,0.0,0.0,11.0,1.37,19,139.0,170.0,71.0,2.25,1,0,0
5096,chicken broilers or fryers dk meat thigh meat only raw,121.0,19.66,1.097,4.12,0.0,0.0,7.0,0.81,23,185.0,242.0,95.0,1.58,1,1,1
5097,chicken broilers or fryers thigh meat only ckd fried,218.0,28.18,2.78,10.3,1.18,0.0,13.0,1.46,26,199.0,259.0,95.0,2.79,1,1,0
5098,chicken broilers or fryers thigh meat only ckd rstd,179.0,24.76,2.311,8.15,0.0,0.0,9.0,1.13,24,230.0,269.0,106.0,1.92,1,1,1
5099,chicken broilers or fryers thigh meat only ckd stwd,195.0,25.0,2.71,9.79,0.0,0.0,11.0,1.42,21,149.0,183.0,75.0,2.58,1,1,1
5100,chicken broilers or fryers wing meatskn raw,191.0,17.52,3.535,12.85,0.0,0.0,11.0,0.46,16,123.0,187.0,84.0,1.21,1,0,0
5101,chicken broilers or fryers wing meatskn ckd fried batter,324.0,19.87,5.83,21.81,10.94,0.0,20.0,1.29,16,121.0,138.0,320.0,1.38,1,0,0
5102,chicken broilers or fryers wing meatskn ckd fried flr,321.0,26.11,6.06,22.16,2.39,0.0,15.0,1.25,19,150.0,177.0,77.0,1.76,1,0,0
5103,chicken broilers or fryers wing meatskn ckd rstd,254.0,23.79,4.976,16.87,0.0,0.0,18.0,0.84,19,147.0,212.0,98.0,1.64,1,1,0
5104,chicken broilers or fryers wing meatskn ckd stwd,249.0,22.78,4.71,16.82,0.0,0.0,12.0,1.13,16,121.0,139.0,67.0,1.63,1,0,0
5105,chicken broilers or fryers wing meat only raw,126.0,21.97,0.94,3.54,0.0,0.0,13.0,0.88,22,155.0,194.0,81.0,1.63,1,1,1
5106,chicken broilers or fryers wing meat only ckd fried,211.0,30.15,2.5,9.15,0.0,0.0,15.0,1.14,21,164.0,208.0,91.0,2.12,1,1,0
5107,chicken broilers or fryers wing meat only ckd rstd,203.0,30.46,2.26,8.13,0.0,0.0,16.0,1.16,21,166.0,210.0,92.0,2.14,1,1,0
5108,chicken broilers or fryers wing meat only ckd stwd,181.0,27.18,2.0,7.18,0.0,0.0,13.0,1.12,18,134.0,153.0,73.0,2.02,1,1,1
5109,chicken roasting meatskngibletsneck raw,213.0,17.09,4.41,15.46,0.09,0.0,10.0,1.37,19,165.0,196.0,69.0,1.28,1,0,0
5110,chicken roasting meatskngibletsneck ckd rstd,220.0,23.96,3.66,13.07,0.05,0.0,13.0,1.61,20,179.0,204.0,71.0,1.71,1,1,0
5111,canada goose breast meat skinless raw,133.0,24.31,0.609,4.02,0.0,0.0,4.0,5.91,29,256.0,336.0,50.0,1.68,1,1,1
5112,chicken roasting meatskn ckd rstd,223.0,23.97,3.74,13.39,0.0,0.0,12.0,1.26,20,179.0,211.0,73.0,1.45,1,1,0
5113,chicken roasting meat only raw,111.0,20.33,0.67,2.7,0.0,0.0,10.0,1.03,23,198.0,238.0,75.0,1.19,1,1,1
5114,chicken roasting meat only ckd rstd,167.0,25.01,1.81,6.63,0.0,0.0,12.0,1.21,21,192.0,229.0,75.0,1.52,1,1,1
5115,chicken roasting giblets raw,127.0,18.14,1.54,5.04,1.14,0.0,10.0,5.4,17,184.0,227.0,77.0,3.39,1,1,1
5116,chicken roasting giblets ckd simmrd,165.0,26.77,1.64,5.22,0.86,0.0,12.0,6.09,20,213.0,160.0,60.0,4.63,1,1,1
5117,chicken roasting lt meat meat only raw,109.0,22.2,0.37,1.63,0.0,0.0,11.0,0.89,25,223.0,252.0,51.0,0.66,1,1,1
5118,chicken roasting lt meat meat only ckd rstd,153.0,27.13,1.08,4.07,0.0,0.0,13.0,1.08,23,217.0,236.0,51.0,0.78,1,1,1
5119,chicken roasting dk meat meat only raw,113.0,18.74,0.93,3.61,0.0,0.0,9.0,1.15,21,178.0,227.0,95.0,1.65,1,1,1
5120,chicken roasting dk meat meat only ckd rstd,178.0,23.25,2.43,8.75,0.0,0.0,11.0,1.33,20,171.0,224.0,95.0,2.13,1,1,1
5121,chicken stewing meatskn gibletsneck raw,251.0,17.48,5.48,19.52,0.19,0.0,10.0,1.51,20,173.0,204.0,71.0,1.37,1,1,0
5122,chicken stewing meat  skn  giblets  neck ckd stwd,214.0,24.88,3.324,11.91,0.0,0.0,13.0,1.64,19,151.0,171.0,67.0,1.96,1,0,0
5123,chicken stewing meatskn raw,258.0,17.55,5.71,20.33,0.0,0.0,10.0,1.04,20,172.0,204.0,71.0,1.19,1,1,0
5124,chicken stewing meatskn ckd stwd,285.0,26.88,5.11,18.87,0.0,0.0,13.0,1.37,20,180.0,182.0,73.0,1.77,1,0,0
5125,chicken stewing meat only raw,148.0,21.26,1.57,6.32,0.0,0.0,10.0,1.09,24,209.0,251.0,79.0,1.4,1,1,1
5126,chicken stewing meat only ckd stwd,237.0,30.42,3.1,11.89,0.0,0.0,13.0,1.43,22,204.0,202.0,78.0,2.06,1,1,0
5127,chicken stewing giblets raw,168.0,17.89,2.63,9.21,2.13,0.0,10.0,5.93,18,198.0,226.0,77.0,3.01,1,1,1
5128,chicken stewing giblets ckd simmrd,194.0,25.73,2.66,9.3,0.11,0.0,13.0,6.44,20,223.0,154.0,56.0,4.28,1,1,1
5129,chicken stewing lt meat meat only raw,137.0,23.1,0.97,4.21,0.0,0.0,11.0,0.92,26,231.0,261.0,53.0,0.6,1,1,1
5130,chicken stewing lt meat meat only ckd stwd,213.0,33.04,1.98,7.98,0.0,0.0,14.0,1.19,23,225.0,199.0,58.0,0.83,1,1,0
5131,chicken stewing dk meat meat only raw,157.0,19.7,2.08,8.12,0.0,0.0,10.0,1.22,23,190.0,242.0,101.0,2.08,1,1,1
5132,chicken stewing dk meat meat only ckd stwd,258.0,28.14,4.07,15.28,0.0,0.0,12.0,1.64,22,187.0,204.0,95.0,3.12,1,1,0
5133,chicken capons meatskngibletsneck raw,232.0,18.51,4.89,16.9,0.08,0.0,11.0,1.41,21,181.0,213.0,47.0,1.32,1,1,0
5134,chicken capons meatskngibletsneck ckd rstd,226.0,28.35,3.28,11.67,0.04,0.0,15.0,1.79,23,239.0,243.0,50.0,1.94,1,1,0
5135,chicken capons meatskn raw,234.0,18.77,4.95,17.07,0.0,0.0,11.0,1.09,21,183.0,217.0,45.0,1.17,1,1,0
5136,chicken capons meatskn ckd rstd,229.0,28.96,3.26,11.65,0.0,0.0,14.0,1.49,24,246.0,255.0,49.0,1.74,1,1,0
5137,chicken capons giblets raw,130.0,18.28,1.64,5.18,1.42,0.0,10.0,6.25,18,207.0,226.0,77.0,3.38,1,1,1
5138,chicken capons giblets ckd simmrd,164.0,26.39,1.77,5.4,0.76,0.0,13.0,6.8,20,235.0,153.0,55.0,4.67,1,1,1
5139,duck domesticated meatskn raw,404.0,11.49,13.22,39.34,0.0,0.0,11.0,2.4,15,139.0,209.0,63.0,1.36,1,1,0
5140,duck domesticated meatskn ckd rstd,337.0,18.99,9.67,28.35,0.0,0.0,11.0,2.7,16,156.0,204.0,59.0,1.86,1,1,0
5141,duck domesticated meat only raw,135.0,18.28,2.32,5.95,0.94,0.0,11.0,2.4,19,203.0,271.0,74.0,1.9,1,1,1
5142,duck domesticated meat only ckd rstd,201.0,23.48,3.951,11.2,0.0,0.0,12.0,2.7,20,203.0,252.0,65.0,2.6,1,1,0
5143,duck domesticated liver raw,136.0,18.74,1.44,4.64,3.53,0.0,11.0,30.53,24,269.0,230.0,140.0,3.07,1,1,1
5144,duck wild meatskn raw,211.0,17.42,5.04,15.2,0.0,0.0,5.0,4.16,20,168.0,249.0,56.0,0.77,1,1,0
5145,duck wild breast meat only raw,123.0,19.85,1.32,4.25,0.0,0.0,3.0,4.51,22,186.0,268.0,57.0,0.74,1,1,1
5146,goose domesticated meatskn raw,371.0,15.86,9.78,33.62,0.0,0.0,12.0,2.5,18,234.0,308.0,73.0,1.72,1,1,0
5147,goose domesticated meatskn ckd rstd,305.0,25.16,6.87,21.92,0.0,0.0,13.0,2.83,22,270.0,329.0,70.0,2.62,1,1,0
5148,goose domesticated meat only raw,161.0,22.75,2.79,7.13,0.0,0.0,13.0,2.57,24,312.0,420.0,87.0,2.34,1,1,1
5149,goose domesticated meat only ckd rstd,238.0,28.97,4.56,12.67,0.0,0.0,14.0,2.87,25,309.0,388.0,76.0,3.17,1,1,0
5150,goose liver raw,133.0,16.37,1.59,4.28,6.32,0.0,43.0,30.53,24,261.0,230.0,140.0,3.07,1,1,1
5151,guinea hen meatskn raw,158.0,23.4,1.77,6.45,0.0,0.0,11.0,0.84,22,153.0,193.0,67.0,1.13,1,1,1
5152,guinea hen meat only raw,110.0,20.64,0.64,2.47,0.0,0.0,11.0,0.77,24,169.0,220.0,69.0,1.2,1,1,1
5153,pheasant raw meatskn,181.0,22.7,2.7,9.29,0.0,0.0,12.0,1.15,20,214.0,243.0,40.0,0.96,1,1,1
5154,pheasant raw meat only,133.0,23.57,1.24,3.64,0.0,0.0,13.0,1.15,20,230.0,262.0,37.0,0.97,1,1,1
5155,pheasant breast meat only raw,133.0,24.37,1.1,3.25,0.0,0.0,3.0,0.79,21,200.0,242.0,33.0,0.63,1,1,1
5156,pheasant leg meat only raw,134.0,22.2,1.46,4.3,0.0,0.0,29.0,1.78,20,280.0,296.0,45.0,1.53,1,1,1
5157,quail meat and skin raw,192.0,19.63,3.38,12.05,0.0,0.0,13.0,3.97,23,275.0,216.0,53.0,2.42,1,1,0
5158,quail meat only raw,134.0,21.76,1.32,4.53,0.0,0.0,13.0,4.51,25,307.0,237.0,51.0,2.7,1,1,1
5159,quail breast meat only raw,123.0,22.59,0.87,2.99,0.0,0.0,10.0,2.31,28,228.0,260.0,55.0,2.7,1,1,1
5160,squab (pigeon) meatskn raw,294.0,18.47,8.43,23.8,0.0,0.0,12.0,3.54,22,248.0,199.0,54.0,2.2,1,0,0
5161,squab (pigeon) meat only raw,142.0,17.5,1.96,7.5,0.0,0.0,13.0,4.51,25,307.0,237.0,51.0,2.7,1,1,1
5162,squab (pigeon) lt meat woskn raw,134.0,21.76,1.18,4.52,0.0,0.0,10.0,2.31,28,228.0,260.0,55.0,2.7,1,1,1
5165,turkey whl meat  skn raw,143.0,21.64,1.461,5.64,0.13,0.07,11.0,0.86,25,183.0,224.0,112.0,1.78,1,1,1
5166,turkey whl meat  skn ckd rstd,189.0,28.55,2.155,7.39,0.06,0.0,14.0,1.09,30,223.0,239.0,103.0,2.48,1,1,1
5167,turkey whl meat only raw,112.0,22.64,0.459,1.93,0.14,0.07,11.0,0.86,27,190.0,235.0,118.0,1.84,1,1,1
5168,turkey whl meat only ckd rstd,159.0,29.06,1.132,3.84,0.0,0.0,13.0,1.03,29,222.0,239.0,101.0,2.51,1,1,1
5169,turkey skn from whl (light  dark) raw,407.0,12.96,10.43,38.93,0.16,0.1,13.0,0.85,11,120.0,124.0,62.0,1.1,1,0,0
5170,turkey skn from whl (light  dark) rstd,459.0,23.94,11.356,39.31,0.57,0.0,21.0,1.63,33,233.0,242.0,116.0,2.14,1,1,0
5171,turkey whl giblets raw,124.0,18.18,1.452,5.09,0.07,0.0,18.0,5.92,22,223.0,198.0,136.0,3.23,1,1,1
5172,turkey whl giblets ckd simmrd,173.0,26.44,1.725,6.61,0.0,0.0,18.0,3.39,25,249.0,177.0,117.0,4.29,1,1,1
5173,turkey gizzard all classes raw,111.0,18.8,0.929,3.37,0.0,0.0,16.0,2.78,19,164.0,185.0,147.0,3.03,1,1,1
5174,turkey gizzard all classes ckd simmrd,155.0,26.45,1.059,4.64,0.0,0.0,17.0,3.68,21,187.0,193.0,127.0,3.92,1,1,1
5175,turkey heart all classes raw,140.0,16.7,1.923,7.44,0.4,0.0,18.0,3.7,21,183.0,179.0,129.0,3.21,1,1,1
5176,turkey heart all classes ckd simmrd,174.0,24.88,1.898,7.52,0.0,0.0,21.0,6.96,28,241.0,203.0,140.0,4.6,1,1,1
5177,turkey liver all classes raw,128.0,18.26,1.664,5.5,0.0,0.0,20.0,8.94,24,279.0,214.0,131.0,3.37,1,1,1
5178,turkey liver all classes ckd simmrd,189.0,27.0,2.304,8.18,0.0,0.0,19.0,1.79,26,312.0,153.0,98.0,4.53,1,1,1
5179,turkey from whl neck meat only raw,125.0,16.51,1.647,6.04,0.0,0.0,24.0,1.01,15,160.0,133.0,233.0,3.39,1,1,1
5180,turkey from whl neck meat only ckd simmrd,162.0,22.48,2.216,7.36,0.0,0.0,58.0,1.18,18,182.0,114.0,246.0,4.03,1,1,1
5181,turkey from whl lt meat meat  skn raw,161.0,21.96,1.899,7.43,0.15,0.06,11.0,0.75,25,188.0,223.0,105.0,1.25,1,1,1
5182,turkey from whl lt meat meat  skn ckd rstd,177.0,29.55,1.603,5.57,0.05,0.0,11.0,0.8,32,230.0,248.0,101.0,1.76,1,1,1
5183,turkey dk meat meat  skn raw,161.0,19.81,2.413,8.97,0.15,0.1,11.0,1.0,22,166.0,208.0,113.0,2.32,1,1,1
5184,turkey dk meat from whl meat  skn ckd rstd,206.0,27.27,2.93,9.95,0.07,0.0,17.0,1.45,27,215.0,228.0,105.0,3.35,1,1,0
5185,turkey from whl lt meat raw,114.0,23.66,0.289,1.48,0.14,0.05,11.0,0.73,28,201.0,242.0,113.0,1.28,1,1,1
5186,turkey all classes lt meat ckd rstd,147.0,30.13,0.593,2.08,0.0,0.0,9.0,0.71,32,230.0,249.0,99.0,1.72,1,1,1
5187,turkey from whole  dark meat  meat only  raw,108.0,21.28,0.683,2.5,0.15,0.1,11.0,1.04,25,176.0,226.0,124.0,2.59,1,1,1
5188,turkey from whl dk meat ckd rstd,173.0,27.71,1.807,6.04,0.0,0.0,17.0,1.43,27,212.0,227.0,104.0,3.51,1,1,1
5190,turkey all classes back meatskn ckd rstd,244.0,26.59,4.18,14.38,0.16,0.0,33.0,2.19,22,189.0,260.0,73.0,3.92,1,1,0
5191,turkey all classes breast meatskn raw,157.0,21.89,1.91,7.02,0.0,0.0,13.0,1.2,24,186.0,275.0,59.0,1.57,1,1,1
5192,turkey all classes breast meatskn ckd rstd,189.0,28.71,2.1,7.41,0.0,0.0,21.0,1.4,27,210.0,288.0,63.0,2.03,1,1,1
5193,turkey all classes leg meatskn raw,144.0,19.54,2.06,6.72,0.0,0.0,17.0,1.72,21,177.0,273.0,74.0,3.09,1,1,1
5194,turkey all classes leg meatskn ckd rstd,208.0,27.87,3.06,9.82,0.0,0.0,32.0,2.3,23,199.0,280.0,77.0,4.27,1,1,0
5195,turkey all classes wing meatskn raw,197.0,20.22,3.28,12.32,0.0,0.0,14.0,1.26,21,165.0,240.0,55.0,1.54,1,1,0
5196,turkey all classes wing meatskn ckd rstd,229.0,27.38,3.39,12.43,0.0,0.0,24.0,1.46,25,197.0,266.0,61.0,2.1,1,1,0
5200,turkey fryer-roasters meatskn ckd rstd,172.0,28.26,1.65,5.72,0.0,0.0,22.0,1.95,25,198.0,250.0,66.0,2.89,1,1,1
5215,turkey back from whl bird meat only raw,113.0,21.28,0.0,2.5,0.15,0.1,11.0,1.04,25,176.0,226.0,124.0,2.59,1,1,1
5216,turkey back from whl bird meat only rstd,173.0,27.71,1.807,6.04,0.0,0.0,17.0,1.43,27,212.0,227.0,104.0,3.51,1,1,1
5219,turkey breast from whl bird meat only raw,114.0,23.66,0.289,1.48,0.14,0.05,11.0,0.73,28,201.0,242.0,113.0,1.28,1,1,1
5220,turkey breast from whl bird meat only rstd,147.0,30.13,0.593,2.08,0.0,0.0,9.0,0.71,32,230.0,249.0,99.0,1.72,1,1,1
5227,turkey wing from whl bird meat only raw,114.0,23.66,0.289,1.48,0.14,0.05,11.0,0.73,28,201.0,242.0,113.0,1.28,1,1,1
5228,turkey wing from whl bird meat only rstd,147.0,30.13,0.593,2.08,0.0,0.0,9.0,0.71,32,230.0,249.0,99.0,1.72,1,1,1
5236,turkey young hen skn only ckd rstd,482.0,19.03,11.59,44.45,0.0,0.0,32.0,1.82,15,133.0,155.0,44.0,2.06,1,0,0
5277,chicken cnd meat only wbroth,165.0,21.77,2.2,7.95,0.0,0.0,14.0,1.58,12,111.0,138.0,503.0,1.41,1,0,1
5282,pate de foie gras cnd (goose liver pate) smoked,462.0,11.4,14.45,43.84,4.67,0.0,70.0,5.5,13,200.0,138.0,697.0,0.92,1,0,0
5284,turkey cnd meat only wbroth,169.0,23.68,2.0,6.86,1.47,0.0,12.0,1.86,20,162.0,224.0,518.0,2.37,1,0,1
5285,turkey diced ltdk meat seasoned,138.0,18.7,1.75,6.0,1.0,0.0,1.0,1.8,17,240.0,310.0,850.0,2.02,1,0,1
5286,turkey and gravy frozen,67.0,5.88,0.85,2.63,4.61,0.0,14.0,0.93,8,81.0,61.0,554.0,0.7,1,0,1
5293,turkey breast pre-basted meatskn ckd rstd,126.0,22.16,0.98,3.46,0.0,0.0,9.0,0.66,21,214.0,248.0,397.0,1.53,1,0,1
5294,turkey thigh pre-basted meatskn ckd rstd,157.0,18.8,2.65,8.54,0.0,0.0,8.0,1.51,17,171.0,241.0,437.0,4.12,1,0,1
5295,turkey rst bnless frz seasoned ltdk meat raw,120.0,17.6,0.73,2.2,6.4,0.0,1.0,2.1,20,158.0,360.0,678.0,1.91,1,0,1
5300,turkey stks breaded battered fried,279.0,14.2,4.38,16.9,17.0,0.0,14.0,2.2,15,234.0,260.0,838.0,1.46,1,0,0
5301,poultry mechanically deboned from backsnecks wskn raw,272.0,11.39,7.45,24.73,0.0,0.0,138.0,1.57,12,132.0,104.0,40.0,1.29,1,0,0
5302,poultry mechanically deboned from backsnecks woskn raw,199.0,13.79,4.71,15.48,0.0,0.0,123.0,1.73,13,154.0,128.0,51.0,1.82,1,0,0
5303,poultry mechanically deboned from mature hens raw,243.0,14.72,4.73,19.98,0.0,0.0,187.0,1.22,12,132.0,104.0,40.0,1.9,1,0,0
5304,turkey mechanically deboned from turkey frames raw,201.0,13.29,5.31,15.96,0.0,0.0,145.0,1.61,13,115.0,173.0,48.0,2.9,1,0,0
5305,ground turkey raw,148.0,19.66,2.024,7.66,0.0,0.0,19.0,1.09,23,200.0,237.0,58.0,2.35,1,1,1
5306,ground turkey ckd,203.0,27.37,2.669,10.4,0.0,0.0,28.0,1.52,30,254.0,294.0,78.0,3.11,1,1,0
5307,chicken cornish game hens meatskn raw,200.0,17.15,3.89,14.02,0.0,0.0,11.0,0.78,18,140.0,236.0,61.0,1.15,1,1,0
5308,chicken cornish game hens meatskn ckd rstd,259.0,22.27,5.05,18.21,0.0,0.0,13.0,0.91,18,146.0,245.0,64.0,1.49,1,1,0
5309,chicken cornish game hens meat only raw,116.0,20.04,0.85,3.33,0.0,0.0,12.0,0.74,21,160.0,269.0,68.0,1.31,1,1,1
5310,chicken cornish game hens meat only ckd rstd,134.0,23.3,0.99,3.87,0.0,0.0,13.0,0.77,19,149.0,250.0,63.0,1.53,1,1,1
5311,chicken canned no broth,185.0,25.3,2.25,8.1,0.9,0.0,14.0,1.3,19,153.0,153.0,482.0,2.5,1,0,1
5312,chicken wing frz glazed barbecue flav,211.0,19.67,3.321,12.67,3.34,2.04,28.0,2.41,20,205.0,190.0,615.0,1.14,1,0,0
5313,chicken wing frz glazed barbecue flav htd (microwave),248.0,25.34,3.655,13.9,3.84,2.1,38.0,2.74,27,272.0,254.0,837.0,1.55,1,0,0
5314,ckn broilersfryers brst sknls bnls meat only w added sln rw,108.0,20.32,0.545,3.0,0.0,0.0,5.0,0.34,25,198.0,332.0,173.0,0.63,1,1,1
5315,duck yng duckling dom wh pekin brst meatskn bnless ckd rstd,202.0,24.5,2.922,10.85,0.0,0.0,8.0,3.26,0,0.0,0.0,84.0,0.0,1,1,0
5316,duck yng duckl dom wh pekin brst meat bnless ckd woskn brld,140.0,27.6,0.578,2.5,0.0,0.0,9.0,4.49,0,0.0,0.0,105.0,0.0,1,1,1
5317,duck yng duckling dom wh pekin leg meatskn bone in ckd rstd,217.0,26.75,2.975,11.4,0.0,0.0,10.0,2.08,0,0.0,0.0,110.0,0.0,1,1,0
5318,duck yng duckl dom wh pekin leg meat bone in ckd woskn brsd,178.0,29.1,1.339,5.96,0.0,0.0,10.0,2.33,0,0.0,0.0,108.0,0.0,1,1,1
5319,chicken broiler rotisserie bbq drumstk meat only,172.0,27.71,1.573,6.76,0.0,0.0,20.0,1.05,23,248.0,291.0,403.0,2.86,1,0,1
5320,chicken wing frz glazed bbq flav htd (conventional oven),242.0,22.24,3.966,14.87,3.36,1.94,28.0,1.97,21,233.0,218.0,559.0,1.3,1,0,0
5323,chicken patty frz unckd,292.0,14.33,4.013,20.04,13.61,0.0,20.0,0.93,25,196.0,248.0,518.0,0.94,1,0,0
5324,chicken patty frz ckd,287.0,14.85,3.662,19.58,12.84,0.0,19.0,0.95,24,208.0,261.0,532.0,1.05,1,0,0
5326,chicken breast tenders breaded ckd microwaved,252.0,16.35,3.2,12.89,17.56,0.0,14.0,1.0,26,216.0,225.0,446.0,0.77,1,0,0
5327,chicken breast tenders breaded unckd,263.0,14.73,3.26,15.75,15.01,0.37,19.0,1.11,23,211.0,214.0,536.0,0.78,1,0,0
5332,chicken ground raw,143.0,17.44,2.301,8.1,0.04,0.0,6.0,0.82,21,178.0,522.0,60.0,1.47,1,1,1
5333,chicken ground crumbles ckd pan-browned,189.0,23.28,3.11,10.92,0.0,0.0,8.0,0.93,28,234.0,677.0,75.0,1.92,1,1,0
5334,chicken broiler rotisserie bbq thigh meat only,193.0,24.09,2.777,10.74,0.0,0.0,13.0,0.97,21,216.0,262.0,335.0,2.0,1,0,0
5335,chick feet boiled,215.0,19.4,3.92,14.6,0.2,0.0,88.0,0.91,5,83.0,31.0,67.0,0.69,1,0,0
5336,usda cmdty chick cnd meat only drnd,162.0,27.52,1.572,5.72,0.0,0.0,12.0,1.16,22,156.0,189.0,271.0,1.94,1,1,1
5337,usda cmdty chick cnd meat only w h2o,129.0,22.02,1.258,4.58,0.0,0.0,10.0,0.93,18,125.0,151.0,251.0,1.55,1,1,1
5338,usda cmdty chick cnd meat only w broth,133.0,22.41,1.293,4.69,0.23,0.03,10.0,0.97,18,131.0,168.0,256.0,1.57,1,1,1
5339,chicken broiler rotisserie bbq wing meat only,184.0,28.34,2.134,7.79,0.54,0.53,32.0,0.97,24,264.0,322.0,725.0,2.05,1,0,1
